frame,pitch,roll,delta_pitch,delta_roll
548,-2.5612642469002473,0.07661958067085778,0.004,0.001
549,-2.5730186527033294,0.07725665389582768,0.012,0.001
550,-2.575327544989698,0.09885174585726328,0.002,0.022
551,-2.586970376952403,0.10869599777495202,0.012,0.01
552,-2.611518490435573,0.10571784636463194,0.025,0.003
553,-2.651736187434407,0.09117108941299941,0.04,0.015
554,-2.6196550875878657,0.08294535214110467,0.032,0.008
555,-2.5926828976266116,0.09543530914102952,0.027,0.012
556,-2.5930235117275657,0.09503899343530431,0.0,0.0
557,-2.576905499250452,0.09128138979197353,0.016,0.004
558,-2.6310977648964347,0.09008155284652047,0.054,0.001
559,-2.5902906095967317,0.10563782202533709,0.041,0.016
560,-2.618944616993002,0.14371689501248294,0.029,0.038
561,-2.6085677387564625,0.12804883708039938,0.01,0.016
562,-2.6262228388671645,0.11409134828582448,0.018,0.014
563,-2.635662699094899,0.1263715016578917,0.009,0.012
564,-2.641669254311,0.13081273566119103,0.006,0.004
565,-2.658352711262248,0.1320814344975112,0.017,0.001
566,-2.6335100375952187,0.1324785931463874,0.025,0.0
567,-2.652423048045602,0.10863122704029154,0.019,0.024
568,-2.6452560318494824,0.11145730453380345,0.007,0.003
569,-2.591243009208113,0.12864738049110222,0.054,0.017
570,-2.5980063416864887,0.11632428802875439,0.007,0.012
571,-2.6124615846189365,0.14595307694379653,0.014,0.03
572,-2.5794879968446796,0.17855921498457558,0.033,0.033
573,-2.6431282940438026,0.15726760984505223,0.064,0.021
574,-2.6763284196087933,0.2201846305706695,0.033,0.063
575,-2.687601738793957,0.22654164483966682,0.011,0.006
576,-2.677683878381823,0.24957455369210352,0.01,0.023
577,-2.6407406656080643,0.21544904869788975,0.037,0.034
578,-2.687009333660102,0.24824091340806814,0.046,0.033
579,-2.6404175433449977,0.25528381334448713,0.047,0.007
580,-2.6376003635645295,0.24346703358761917,0.003,0.012
581,-2.6586127319963277,0.24789915690021455,0.021,0.004
582,-2.6554465321800684,0.25718497818270447,0.003,0.009
583,-2.6834770380313304,0.2599099339563186,0.028,0.003
584,-2.709530412069044,0.2741598721663673,0.026,0.014
585,-2.682629613921587,0.2729789521987764,0.027,0.001
586,-2.6607772047573746,0.28216096657608747,0.022,0.009
587,-2.6755853338052638,0.2760875642217554,0.015,0.006
588,-2.6834847962029063,0.2789125003789215,0.008,0.003
589,-2.6788370278103777,0.2927907450396989,0.005,0.014
590,-2.6862678583302033,0.27103576265212964,0.007,0.022
591,-2.66955782848042,0.30161291563796006,0.017,0.031
592,-2.695787964934574,0.2750479282560136,0.026,0.027
593,-2.712402996003061,0.28728486392345065,0.017,0.012
594,-2.768237239587318,0.3084310412304525,0.056,0.021
595,-2.759534986656599,0.2891621500961262,0.009,0.019
596,-2.7597932228550954,0.2881171440804906,0.0,0.001
597,-2.6315934107819383,0.2485993684119748,0.128,0.04
598,-2.64116957339963,0.25727398489219705,0.01,0.009
599,-2.6608582902295166,0.2473964005553255,0.02,0.01
600,-2.6366019771523317,0.25789150242245484,0.024,0.01
601,-2.6486778509169038,0.25102935775500373,0.012,0.007
602,-2.6163898852938936,0.24578711580270998,0.032,0.005
603,-2.665005141835242,0.2560245822549088,0.049,0.01
604,-2.661053209945049,0.24313164283366587,0.004,0.013
605,-2.666957464745404,0.2513041345463723,0.006,0.008
606,-2.6775438194010444,0.24208832172679992,0.011,0.009
607,-2.676606667167707,0.21747235418921432,0.001,0.025
608,-2.685858659965697,0.19141594563266526,0.009,0.026
609,-2.6768860022457366,0.17557191760813254,0.009,0.016
610,-2.71055379556671,0.17552075424277008,0.034,0.0
611,-2.690386594021113,0.17600261457674526,0.02,0.0
612,-2.664222018181284,0.1711261868224278,0.026,0.005
613,-2.69405326176218,0.16000293676854174,0.03,0.011
614,-2.700566082404151,0.16793652719389532,0.007,0.008
615,-2.7032451937532485,0.1697692535440011,0.003,0.002
616,-2.726503030672629,0.16222908477989648,0.023,0.008
617,-2.711209953242228,0.1674811994150325,0.015,0.005
618,-2.7304061101188557,0.19745697001288937,0.019,0.03
619,-2.714655707737357,0.21080205345326972,0.016,0.013
620,-2.700995394176571,0.21715208061587365,0.014,0.006
621,-2.7035390497850345,0.22954706138230838,0.003,0.012
622,-2.7190262454693417,0.2417836868135602,0.015,0.012
623,-2.729687633824208,0.2576557196918942,0.011,0.016
624,-2.7819317690415373,0.28790451360146957,0.052,0.03
625,-2.808929056696995,0.2907511328051295,0.027,0.003
626,-2.8360766292666115,0.29393160902533955,0.027,0.003
627,-2.8128371498076046,0.31875479559886394,0.023,0.025
628,-2.836267104322616,0.33620210425960073,0.023,0.017
629,-2.7958644521430056,0.3461302456086547,0.04,0.01
630,-2.7990508499799565,0.3517980739563675,0.003,0.006
631,-2.791790663646869,0.35048089136009714,0.007,0.001
632,-2.778681355236513,0.3399158187196453,0.013,0.011
633,-2.7635865390661247,0.3288713996024745,0.015,0.011
634,-2.739569733113191,0.3377235748757998,0.024,0.009
635,-2.7556593640554032,0.33065053611644385,0.016,0.007
636,-2.7401629146180904,0.33309985290649247,0.015,0.002
637,-2.7508776317519836,0.33796101462286265,0.011,0.005
638,-2.736257783719798,0.3315209968246346,0.015,0.006
639,-2.7583360720752514,0.32840616436283,0.022,0.003
640,-2.763443816273194,0.3153651557276069,0.005,0.013
641,-2.755593950060202,0.30354802895796656,0.008,0.012
642,-2.7574823045778407,0.3490839638464011,0.002,0.046
643,-2.767085223535517,0.3527367568313177,0.01,0.004
644,-2.7218996586783697,0.33389028600940435,0.045,0.019
645,-2.7452282145556257,0.29496307020789386,0.023,0.039
646,-2.7186052092795463,0.309037611146761,0.027,0.014
647,-2.7225792646492484,0.3089747893337178,0.004,0.0
648,-2.7236795083635794,0.3176731530130402,0.001,0.009
649,-2.721902526202343,0.31549712499405963,0.002,0.002
650,-2.7191276442627337,0.3245751416190225,0.003,0.009
651,-2.6946539261024203,0.33461557569621014,0.024,0.01
652,-2.7029736352929628,0.33116859338397897,0.008,0.003
653,-2.713283961619795,0.3280921760903915,0.01,0.003
654,-2.6821450855862103,0.3177340966701784,0.031,0.01
655,-2.6715933942925085,0.30804219547989187,0.011,0.01
656,-2.701240759473602,0.3328850468676639,0.03,0.025
657,-2.702424373593754,0.31194908697465373,0.001,0.021
658,-2.680362032508232,0.2971504688668234,0.022,0.015
659,-2.706106009377332,0.3311012079351808,0.026,0.034
660,-2.7032072040243618,0.32202391627678284,0.003,0.009
661,-2.9611532451937,-2.951597107156422,0.258,3.274
662,-2.682840148977269,0.34022354856529785,0.278,3.292
663,-2.704394741446476,0.3102555838747932,0.022,0.03
664,-2.689470043583445,0.3122705805852355,0.015,0.002
665,-2.697570120690409,0.31304576688950014,0.008,0.001
666,-2.690651057452445,0.33197118995283664,0.007,0.019
667,-2.7130292300893317,0.30734886380103826,0.022,0.025
668,-2.695645959903311,0.318053486749348,0.017,0.011
669,-2.6936965613859942,0.3210760916009453,0.002,0.003
670,-2.975689064414798,-2.964056075266259,0.282,3.285
671,-2.977934114723044,-2.9660581527133414,0.002,0.002
672,-2.9560122409815976,-2.9466709563884734,0.022,0.019
673,-2.687470356130818,0.2930865652683044,0.269,3.24
674,-2.9593142610070142,-2.966507103047659,0.272,3.26
675,-2.9815358651959314,-2.9804691255246016,0.022,0.014
676,-2.6926870269533887,0.317912405936798,0.289,3.298
677,-2.7023502476887846,0.27844051490501703,0.01,0.039
678,-2.6825671042363597,0.2820596386287767,0.02,0.004
679,-2.6815154361015234,0.29721836853048417,0.001,0.015
680,-2.7207258559615592,0.3159027711225972,0.039,0.019
681,-2.70598130930296,0.31344665678149136,0.015,0.002
682,-2.727966394171905,0.3292593930850992,0.022,0.016
683,-3.0504453727552736,-2.9960658907587243,0.322,3.325
684,-2.731772173844484,0.3362920860719366,0.319,3.332
685,-2.7003882964956536,0.2994038024884253,0.031,0.037
686,-2.701289580261582,0.31731309377026357,0.001,0.018
687,-2.7122426129172195,0.329162041201176,0.011,0.012
688,-2.725336580803893,0.32723366957544087,0.013,0.002
689,-2.7327050523016263,0.31959338351853933,0.007,0.008
690,-2.7424966942804834,0.33127350984754583,0.01,0.012
691,-2.7223360102686924,0.31437113019185314,0.02,0.017
692,-2.7536103903094387,0.29771462956576195,0.031,0.017
693,-2.7009456730705708,0.3145561046672074,0.053,0.017
694,-2.7274154297966215,0.32710435032606744,0.026,0.013
695,-2.735466482365305,0.32266161899921536,0.008,0.004
696,-2.7094384234544138,0.3191933351644332,0.026,0.003
697,-2.702499434936505,0.28619027088191756,0.007,0.033
698,-2.699691991355893,0.30650446227276235,0.003,0.02
699,-2.667236563750844,0.3063574825567793,0.032,0.0
700,-2.713503940135264,0.2944791961676048,0.046,0.012
701,-2.6874703139575904,0.2941260746502797,0.026,0.0
702,-2.6967974463666633,0.30437604131650053,0.009,0.01
703,-2.7007529137637505,0.30689293170173815,0.004,0.003
704,-2.735287339090233,0.31874448801873934,0.035,0.012
705,-2.7116363711661116,0.30981703206709166,0.024,0.009
706,-2.7068923262937035,0.3250405360879002,0.005,0.015
707,-2.7282767924053872,0.31135898596377976,0.021,0.014
708,-2.695142959102429,0.308253673608141,0.033,0.003
709,-2.706310505303162,0.30334795089263616,0.011,0.005
710,-2.748206965377259,0.2893125355131828,0.042,0.014
711,-2.709878974925868,0.3017633673798757,0.038,0.012
712,-2.7209100537228443,0.32241341797472434,0.011,0.021
713,-2.7244938627793895,0.3030891905346328,0.004,0.019
714,-2.716343660041529,0.33621204054027937,0.008,0.033
715,-3.022527266288294,-2.961552924372972,0.306,3.298
716,-3.0193155339566076,-2.9650720106203194,0.003,0.004
717,-3.021749945442735,-2.9671568978839,0.002,0.002
718,-3.0282039925075828,-2.97022041067186,0.006,0.003
719,-2.7361479728918607,0.3443037286446437,0.292,3.315
720,-2.7281223906651677,0.3413617829150078,0.008,0.003
721,-2.746602039778803,0.33231015368824846,0.018,0.009
722,-2.7403310933771774,0.31824646534355316,0.006,0.014
723,-2.7108717891638396,0.3179493086265372,0.029,0.0
724,-2.727180486163975,0.3167044296280612,0.016,0.001
725,-2.710586659665796,0.3119587619796992,0.017,0.005
726,-2.7335145174143864,0.3224052028090785,0.023,0.01
727,-2.728469584454053,0.31594401519484183,0.005,0.006
728,-2.7056616133483726,0.3330393814421561,0.023,0.017
729,-2.718902003053809,0.32950295554267234,0.013,0.004
730,-2.727694319991571,0.323540628196757,0.009,0.006
731,-1.7186642947837993,0.21770401385321508,1.009,0.106
732,-2.7123680105557235,0.31758919735235464,0.994,0.1
733,-2.734660090975208,0.3086668818235384,0.022,0.009
734,-2.7345904691353042,0.325195831585578,0.0,0.017
735,-2.7326201372366845,0.3372326930597072,0.002,0.012
736,-2.7396571259668216,0.31390887406662893,0.007,0.023
737,-2.7453787371492044,0.32280534639975395,0.006,0.009
738,-2.731884353045709,0.33089664848528627,0.013,0.008
739,-2.70821713322089,0.3012883468065198,0.024,0.03
740,-2.730218226735521,0.3059966377833004,0.022,0.005
741,-2.7357207815063136,0.3219661058668903,0.006,0.016
742,-2.7329526114658886,0.3158152906445832,0.003,0.006
743,-2.734626549049527,0.3012936918657856,0.002,0.015
744,-2.7268234612305546,0.29500418060908384,0.008,0.006
745,-2.7137787027961244,0.29750252313127196,0.013,0.002
746,-2.6992660269341457,0.3011983363027657,0.015,0.004
747,-2.7988795015082655,0.27242941936034804,0.1,0.029
748,-2.7778347431190706,0.2582753789915255,0.021,0.014
749,-2.7201064029979696,0.2791267811065319,0.058,0.021
750,-2.7351133436664843,0.2761093705843225,0.015,0.003
751,-2.7278168764966044,0.2919664972646592,0.007,0.016
752,-2.7174012118249324,0.28238225838304704,0.01,0.01
753,-2.7187385814282465,0.2797883412592078,0.001,0.003
754,-2.7164745898253715,0.27766815375289305,0.002,0.002
755,-2.7391652499053176,0.2785163907783769,0.023,0.001
756,-2.7221136895657905,0.2938445090039896,0.017,0.015
757,-2.7063783338913794,0.2968991424721481,0.016,0.003
758,-2.7824364004162674,0.26696099721014377,0.076,0.03
759,-2.7881503840685173,0.2637494386645089,0.006,0.003
760,-2.7066124832944567,0.3051746033688283,0.082,0.041
761,-2.7850382465686514,0.24912649316498534,0.078,0.056
762,-2.703810187271471,0.3079583480124677,0.081,0.059
763,-2.7976072758945527,0.26031406824538045,0.094,0.048
764,-2.7729629442633668,0.2677063235618554,0.025,0.007
765,-2.7856850130646547,0.2617182002503284,0.013,0.006
766,-2.7773920689726084,0.2870277491993621,0.008,0.025
767,-2.7939924662415643,0.28429494563447105,0.017,0.003
768,-2.7994471661144007,0.28512619611057227,0.005,0.001
769,-2.7727672278743323,0.3036229104538113,0.027,0.018
770,-2.764847267530973,0.321673505873867,0.008,0.018
771,-2.7882550410772313,0.3048821803559263,0.023,0.017
772,-2.770804583204422,0.3020651026086968,0.017,0.003
773,-2.7934939239065195,0.2968395347925199,0.023,0.005
774,-2.762050527331225,0.301128961968978,0.031,0.004
775,-2.7726130965114457,0.30742384441149045,0.011,0.006
776,-2.770226660275769,0.30169026660393417,0.002,0.006
777,-2.715132090338689,0.31576862094193325,0.055,0.014
778,-2.6911667404019677,0.2843664729460625,0.024,0.031
779,-2.6972921608322347,0.2836056548278176,0.006,0.001
780,-2.7048627665332625,0.2791417362163534,0.008,0.004
781,-2.7120069582265853,0.30492671135949634,0.007,0.026
782,-2.6913328672536707,0.2647430638478885,0.021,0.04
783,-2.6966382402382103,0.27353329989173086,0.005,0.009
784,-2.71715746357511,0.2486432027464898,0.021,0.025
785,-2.8108956507950187,0.2997217773039721,0.094,0.051
786,-2.797132749920939,0.28549828214206197,0.014,0.014
787,-2.7272720835903117,0.3050591030723441,0.07,0.02
788,-2.713214410365682,0.31928523998300445,0.014,0.014
789,-2.676983324162258,0.3022567866537141,0.036,0.017
790,-2.6806273382735837,0.2836160941380033,0.004,0.019
791,-2.673433055993049,0.28050490767615865,0.007,0.003
792,-2.681733882071176,0.2730377227143286,0.008,0.007
793,-2.71615987279135,0.28418307234337836,0.034,0.011
794,-2.746302667333476,0.2768958753225527,0.03,0.007
795,-2.7044071746333316,0.2739259387916274,0.042,0.003
796,-2.6894859162924796,0.27721665580598237,0.015,0.003
797,-2.6982563116936507,0.27004060784618916,0.009,0.007
798,-2.7047440161644594,0.2526000333836476,0.006,0.017
799,-2.6860649242199943,0.24126267408931787,0.019,0.011
800,-2.6732540186338722,0.2365556201555817,0.013,0.005
801,-2.7341495430503433,0.2025014923236181,0.061,0.034
802,-2.6556370152629443,0.2373352264559673,0.079,0.035
803,-2.6765503381335374,0.22323775205914564,0.021,0.014
804,-2.6783552947779747,0.22033812999367497,0.002,0.003
805,-2.676889542245121,0.21968815678082054,0.001,0.001
806,-2.666514196569351,0.21477559459645953,0.01,0.005
807,-2.663080542721888,0.22644811634071124,0.003,0.012
808,-2.6860124966712555,0.20066754786178692,0.023,0.026
809,-2.6855098469968572,0.19595470234925022,0.001,0.005
810,-2.70742150319669,0.18679450611685644,0.022,0.009
811,-2.714308583243852,0.16409782085027927,0.007,0.023
812,-2.696475269189184,0.17268455793534782,0.018,0.009
813,-2.699760689097789,0.16758524274565967,0.003,0.005
814,-2.769060379152737,0.14770495299883082,0.069,0.02
815,-2.7281014830921575,0.1434408393945837,0.041,0.004
816,-2.7362224615027966,0.16483475850923865,0.008,0.021
817,-2.7194016084769737,0.169467171458684,0.017,0.005
818,-2.720280692415471,0.16802951015574516,0.001,0.001
819,-2.712086444132796,0.17450192086295496,0.008,0.006
820,-2.728357377095573,0.19263468868272413,0.016,0.018
821,-2.6735140495914407,0.20599445687906257,0.055,0.013
822,-2.676544946538976,0.20304527632801117,0.003,0.003
823,-2.697957158090073,0.1927723595050836,0.021,0.01
824,-2.7015010847602143,0.20658110841427085,0.004,0.014
825,-2.6787469947968074,0.20019294006068056,0.023,0.006
826,-2.6862234734898127,0.19723196301495044,0.007,0.003
827,-2.6891757122100786,0.17107482778796698,0.003,0.026
828,-2.690489904142317,0.17937037150499324,0.001,0.008
829,-2.728851842123117,0.1625032830502943,0.038,0.017
830,-2.6893392299323216,0.1666618232078612,0.04,0.004
831,-2.689122100969188,0.16206943771670773,0.0,0.005
832,-2.667956419351206,0.171866368614411,0.021,0.01
833,-2.680454477423206,0.1774743009181592,0.012,0.006
834,-2.666550531761632,0.19147126054278502,0.014,0.014
835,-2.67375681345177,0.1868298957797087,0.007,0.005
836,-2.6780254632200573,0.18104876739063624,0.004,0.006
837,-2.6631784671259395,0.17815193848304156,0.015,0.003
838,-2.659945402550926,0.19630188409374613,0.003,0.018
839,-2.704781043953148,0.1912648487229018,0.045,0.005
840,-2.6898762010354926,0.18758048112525388,0.015,0.004
841,-2.701304522315367,0.18479433385222616,0.011,0.003
842,-2.7145714771413196,0.18116182382471743,0.013,0.004
843,-2.6761207525972504,0.20450564086957615,0.038,0.023
844,-2.673640173538316,0.21311311136322209,0.002,0.009
